model,dataset,split,model_dataset,accuracy_improvement,conf_gap_improvement,cot_accuracy,zs_accuracy,cot_conf_gap,zs_conf_gap
Llama-32-1B-Instruct,gsm8k,test,Llama-32-1B-Instruct_gsm8k,-0.007000000000000006,0.003939558674247168,0.48,0.487,0.03677129579822208,0.03283173712397491
Llama-32-3B-Instruct,gsm8k,train,Llama-32-3B-Instruct_gsm8k,-0.0040000000000000036,0.10081619521373983,0.92,0.924,0.1433123727823738,0.04249617756863397
gemma-2-2b-it,gsm8k,test,gemma-2-2b-it_gsm8k,0.020000000000000018,0.06135115357728893,0.663,0.643,0.26142661153507163,0.2000754579577827
Llama-32-3B-Instruct,gsm8k,test,Llama-32-3B-Instruct_gsm8k,0.02299999999999991,0.08709283458917556,0.824,0.801,0.13402000136374095,0.04692716677456539
Meta-Llama-31-8B-Instruct,gsm8k,train,Meta-Llama-31-8B-Instruct_gsm8k,0.0040000000000000036,0.008949567935042035,0.926,0.922,0.24385483993510054,0.2349052720000585
OLMo-2-1124-7B-Instruct,gsm8k,test,OLMo-2-1124-7B-Instruct_gsm8k,-0.0030000000000000027,0.005556449289307985,0.844,0.847,0.2362785236135011,0.23072207432419312
OLMo-2-1124-7B-Instruct,gsm8k,train,OLMo-2-1124-7B-Instruct_gsm8k,0.010000000000000009,-0.03604371057590816,0.915,0.905,0.1892414186449951,0.22528512922090327
gemma-2-9b-it,gsm8k,test,gemma-2-9b-it_gsm8k,-0.0040000000000000036,0.08896509154084509,0.886,0.89,0.21145326466972658,0.1224881731288815
OLMo-2-1124-13B-Instruct,gsm8k,test,OLMo-2-1124-13B-Instruct_gsm8k,0.0030000000000000027,-0.07276585592837503,0.889,0.886,0.10404134749319993,0.17680720342157497
Qwen25-14B-Instruct,gsm8k,train,Qwen25-14B-Instruct_gsm8k,-0.019000000000000017,-0.09198758148654174,0.938,0.957,0.0328892454857409,0.12487682697228264
Qwen25-7B-Instruct,gsm8k,test,Qwen25-7B-Instruct_gsm8k,0.007000000000000006,0.016085610901384606,0.918,0.911,0.23561565802481443,0.21953004712342983
Qwen25-05B-Instruct,gsm8k,test,Qwen25-05B-Instruct_gsm8k,-0.0020000000000000018,-0.004738338596120939,0.407,0.409,0.05086049241005253,0.055598831006173466
Qwen25-05B-Instruct,gsm8k,train,Qwen25-05B-Instruct_gsm8k,-0.039999999999999925,0.008125557061110178,0.529,0.569,0.059380737202438305,0.05125518014132813
Qwen25-3B-Instruct,gsm8k,test,Qwen25-3B-Instruct_gsm8k,0.02400000000000002,-0.039398887206889666,0.853,0.829,0.2604959980080993,0.29989488521498897
gemma-2-9b-it,gsm8k,train,gemma-2-9b-it_gsm8k,0.0050000000000000044,0.08176342403172066,0.917,0.912,0.13991595174101046,0.0581525277092898
Qwen25-14B-Instruct,gsm8k,test,Qwen25-14B-Instruct_gsm8k,-0.0010000000000000009,-0.07307082863948178,0.925,0.926,0.14990096459838254,0.2229717932378643
OLMo-2-1124-13B-Instruct,gsm8k,train,OLMo-2-1124-13B-Instruct_gsm8k,-0.010000000000000009,0.02344089745726652,0.926,0.936,0.16745767717971038,0.14401677972244387
gemma-2-2b-it,gsm8k,train,gemma-2-2b-it_gsm8k,0.008000000000000007,0.0008399632808901991,0.735,0.727,0.22020768102105082,0.21936771774016062
Meta-Llama-31-8B-Instruct,gsm8k,test,Meta-Llama-31-8B-Instruct_gsm8k,0.01100000000000001,-0.06455843190860922,0.866,0.855,0.26679732334538686,0.3313557552539961
Llama-32-1B-Instruct,gsm8k,train,Llama-32-1B-Instruct_gsm8k,-0.009000000000000008,0.013687430598267492,0.618,0.627,0.04060031075573295,0.026912880157465457
Qwen25-3B-Instruct,gsm8k,train,Qwen25-3B-Instruct_gsm8k,-0.01200000000000001,-0.10952982220638874,0.903,0.915,0.2206105311184865,0.33014035332487524
Qwen25-7B-Instruct,gsm8k,train,Qwen25-7B-Instruct_gsm8k,-0.015999999999999903,-0.003096394135045588,0.937,0.953,0.14026585839895855,0.14336225253400414
gemma-2-2b-it,medmcqa,train,gemma-2-2b-it_medmcqa,0.0,0.024384856541562527,0.192,0.192,0.07961800467523883,0.0552331481336763
gemma-2-9b-it,medmcqa,train,gemma-2-9b-it_medmcqa,-0.008000000000000007,-0.023025596438796092,0.565,0.573,0.024861153772043676,0.04788675021083977
Llama-32-1B-Instruct,medmcqa,train,Llama-32-1B-Instruct_medmcqa,0.03700000000000003,0.008011525616319792,0.531,0.494,0.032176533293798104,0.024165007677478312
Llama-32-3B-Instruct,medmcqa,train,Llama-32-3B-Instruct_medmcqa,0.0030000000000000027,0.016914075634130082,0.73,0.727,0.07181585629435538,0.0549017806602253
Meta-Llama-31-8B-Instruct,medmcqa,train,Meta-Llama-31-8B-Instruct_medmcqa,0.019000000000000017,0.027901985932875184,0.804,0.785,0.3142328856918728,0.2863308997589976
OLMo-2-1124-13B-Instruct,medmcqa,train,OLMo-2-1124-13B-Instruct_medmcqa,0.0129999999999999,-0.018990000299260013,0.572,0.559,0.1390865607903229,0.1580765610895829
OLMo-2-1124-7B-Instruct,medmcqa,train,OLMo-2-1124-7B-Instruct_medmcqa,0.0040000000000000036,-0.06472634156975066,0.484,0.48,0.09108955493693238,0.15581589650668304
Qwen25-3B-Instruct,medmcqa,train,Qwen25-3B-Instruct_medmcqa,0.008999999999999994,0.03860521018866644,0.104,0.095,0.080559526934048,0.04195431674538156
Qwen25-14B-Instruct,medmcqa,train,Qwen25-14B-Instruct_medmcqa,0.03600000000000003,-0.13440796564810442,0.724,0.688,0.08304659040773399,0.2174545560558384
Qwen25-7B-Instruct,medmcqa,train,Qwen25-7B-Instruct_medmcqa,-0.03700000000000003,-0.06669704612962679,0.618,0.655,0.028047305169540904,0.0947443512991677
gemma-2-2b-it,medmcqa,validation,gemma-2-2b-it_medmcqa,0.0010000000000000009,-0.004785882099280547,0.181,0.18,0.09444597694602275,0.0992318590453033
gemma-2-9b-it,medmcqa,validation,gemma-2-9b-it_medmcqa,-0.01599999999999996,0.0033024692130537714,0.461,0.477,0.027784039850089037,0.024481570637035266
Llama-32-1B-Instruct,medmcqa,validation,Llama-32-1B-Instruct_medmcqa,-0.0050000000000000044,0.008092230771830522,0.366,0.371,0.022606616420615677,0.014514385648785155
Llama-32-3B-Instruct,medmcqa,validation,Llama-32-3B-Instruct_medmcqa,0.006000000000000005,-0.003923225304408168,0.554,0.548,0.04380569562151491,0.047728920925923075
Meta-Llama-31-8B-Instruct,medmcqa,validation,Meta-Llama-31-8B-Instruct_medmcqa,-0.017000000000000015,0.04086901822083011,0.586,0.603,0.26138329441002006,0.22051427618918995
OLMo-2-1124-13B-Instruct,medmcqa,validation,OLMo-2-1124-13B-Instruct_medmcqa,0.0,-0.07191460713295728,0.489,0.489,0.08390127845638429,0.15581588558934156
OLMo-2-1124-7B-Instruct,medmcqa,validation,OLMo-2-1124-7B-Instruct_medmcqa,-0.019000000000000017,0.008866151277020284,0.409,0.428,0.10258963458154524,0.09372348330452496
Qwen25-14B-Instruct,medmcqa,validation,Qwen25-14B-Instruct_medmcqa,0.0030000000000000027,-0.13679914077171074,0.628,0.625,0.06871295795468124,0.20551209872639198
gemma-2-2b-it,mmlu,test,gemma-2-2b-it_mmlu,-0.013000000000000012,0.02872566292996792,0.127,0.14,0.07042438326367673,0.041698720333708805
Qwen25-7B-Instruct,medmcqa,validation,Qwen25-7B-Instruct_medmcqa,0.007000000000000006,-0.0757633308839637,0.544,0.537,0.03194640859624054,0.10770973948020424
Qwen25-3B-Instruct,medmcqa,validation,Qwen25-3B-Instruct_medmcqa,0.013999999999999999,0.035276702896227946,0.108,0.094,0.13259363219840758,0.09731692930217964
Llama-32-1B-Instruct,mmlu,test,Llama-32-1B-Instruct_mmlu,0.0010000000000000009,-0.015140327942600451,0.371,0.37,0.023712384864552738,0.03885271280715319
gemma-2-9b-it,mmlu,test,gemma-2-9b-it_mmlu,0.009000000000000008,0.0011773421514301718,0.734,0.725,0.07695123244014801,0.07577389028871784
Llama-32-3B-Instruct,mmlu,test,Llama-32-3B-Instruct_mmlu,-0.02200000000000002,-0.014815020160160258,0.566,0.588,0.11423778239287605,0.1290528025530363
Meta-Llama-31-8B-Instruct,mmlu,test,Meta-Llama-31-8B-Instruct_mmlu,-0.028000000000000025,-0.020477275383615545,0.707,0.735,0.3166957746285187,0.33717305001213427
OLMo-2-1124-13B-Instruct,mmlu,test,OLMo-2-1124-13B-Instruct_mmlu,-0.008000000000000007,-0.025136038727165855,0.638,0.646,0.12262336815281616,0.147759406879982
OLMo-2-1124-7B-Instruct,mmlu,test,OLMo-2-1124-7B-Instruct_mmlu,0.0050000000000000044,-0.052123664095135025,0.61,0.605,0.18522530027530248,0.2373489643704375
Qwen25-14B-Instruct,mmlu,test,Qwen25-14B-Instruct_mmlu,-0.03700000000000003,-0.1031693698072711,0.72,0.757,0.14755361248260268,0.2507229822898738
Qwen25-3B-Instruct,mmlu,test,Qwen25-3B-Instruct_mmlu,0.014000000000000012,-0.16827690646533217,0.533,0.519,0.15119873984529153,0.3194756463106237
Qwen25-7B-Instruct,mmlu,test,Qwen25-7B-Instruct_mmlu,-0.007000000000000006,-0.16639822541145555,0.737,0.744,0.08907201641936424,0.2554702418308198
gemma-2-2b-it,mmlu,validation,gemma-2-2b-it_mmlu,0.0040000000000000036,0.06267926508733312,0.147,0.143,0.09601561428713146,0.03333634919979833
gemma-2-9b-it,mmlu,validation,gemma-2-9b-it_mmlu,0.01100000000000001,-0.011118970526723837,0.751,0.74,0.06439971000132017,0.075518680528044
Llama-32-1B-Instruct,mmlu,validation,Llama-32-1B-Instruct_mmlu,0.0030000000000000027,-0.0038901422097029625,0.38,0.377,0.0343115566999771,0.03820169890968006
Llama-32-3B-Instruct,mmlu,validation,Llama-32-3B-Instruct_mmlu,0.03300000000000003,-0.010974606768625134,0.597,0.564,0.10765834282386784,0.11863294959249297
Meta-Llama-31-8B-Instruct,mmlu,validation,Meta-Llama-31-8B-Instruct_mmlu,-0.017000000000000015,-0.041922773143636016,0.708,0.725,0.27601944287387076,0.3179422160175068
OLMo-2-1124-7B-Instruct,mmlu,validation,OLMo-2-1124-7B-Instruct_mmlu,0.017000000000000015,-0.0239127249009512,0.593,0.576,0.15644943659929156,0.18036216150024276
OLMo-2-1124-13B-Instruct,mmlu,validation,OLMo-2-1124-13B-Instruct_mmlu,-0.010000000000000009,-0.03454060643123735,0.614,0.624,0.10315520226521768,0.13769580869645504
Qwen25-14B-Instruct,mmlu,validation,Qwen25-14B-Instruct_mmlu,-0.02200000000000002,-0.11637850054291055,0.73,0.752,0.09752764367907296,0.2139061442219835
Qwen25-3B-Instruct,mmlu,validation,Qwen25-3B-Instruct_mmlu,-0.01200000000000001,-0.07532726302168707,0.543,0.555,0.19336045319133488,0.26868771621302195
Qwen25-7B-Instruct,mmlu,validation,Qwen25-7B-Instruct_mmlu,0.0010000000000000009,-0.15322660036162739,0.731,0.73,0.08993231788977762,0.243158918251405
gemma-2-2b-it,simpleqa,test,gemma-2-2b-it_simpleqa,-0.023999999999999997,-0.09010434580412996,0.021,0.045,0.0003255619819678701,0.09042990778609783
gemma-2-9b-it,simpleqa,test,gemma-2-9b-it_simpleqa,0.0020000000000000018,0.11390650531621216,0.056,0.054,0.1912406578331537,0.07733415251694153
Llama-32-3B-Instruct,simpleqa,test,Llama-32-3B-Instruct_simpleqa,-0.008,-0.03144717649572856,0.019,0.027,0.07205291515914336,0.10350009165487192
Llama-32-1B-Instruct,simpleqa,test,Llama-32-1B-Instruct_simpleqa,0.008,-0.040694358607747005,0.027,0.019,0.0016593656825975578,0.04235372429034456
Meta-Llama-31-8B-Instruct,simpleqa,test,Meta-Llama-31-8B-Instruct_simpleqa,0.0030000000000000027,0.19046790109555678,0.046,0.043,0.23640948525006472,0.04594158415450794
OLMo-2-1124-13B-Instruct,simpleqa,test,OLMo-2-1124-13B-Instruct_simpleqa,0.015,0.013594143846612505,0.063,0.048,0.09607966477519692,0.08248552092858441
Qwen25-14B-Instruct,simpleqa,test,Qwen25-14B-Instruct_simpleqa,0.011000000000000003,-0.13495761148590957,0.068,0.057,0.11532770989798624,0.2502853213838958
OLMo-2-1124-7B-Instruct,simpleqa,test,OLMo-2-1124-7B-Instruct_simpleqa,-0.0010000000000000009,0.03914860330142089,0.051,0.052,0.048279823019787615,0.009131219718366723
Qwen25-3B-Instruct,simpleqa,test,Qwen25-3B-Instruct_simpleqa,0.002999999999999999,-0.1120212207146366,0.027,0.024,0.0633397099759595,0.1753609306905961
Qwen25-7B-Instruct,simpleqa,test,Qwen25-7B-Instruct_simpleqa,0.0,-0.13634470565790835,0.038,0.038,0.05441734187838365,0.190762047536292
